                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0878,                 4.0546,                 3.4171,                0.09557,                0.07651,                0.02457,                0.00779,                 2.5487,                 3.7648,                 2.7262,             0.00041617,             0.00041617,             0.00041617
                      2,                 2.2773,                 3.1787,                 2.3571,                0.19017,                0.13954,                0.08216,                0.03406,                 2.2457,                 3.0588,                  2.329,             0.00079161,             0.00079161,             0.00079161
                      3,                 2.0429,                 2.8397,                 2.0943,                0.26647,                0.20417,                0.15342,                0.07843,                 1.9905,                  2.743,                 2.0812,              0.0011258,              0.0011258,              0.0011258
                      4,                 1.8927,                 2.5992,                 1.9501,                0.29911,                0.25272,                0.20779,                0.11158,                 1.8862,                 2.5316,                 1.9387,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.8017,                 2.4352,                 1.8592,                0.36489,                0.27374,                0.24619,                0.13502,                 1.8112,                  2.396,                 1.8488,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.7477,                 2.3286,                 1.7977,                0.37019,                0.32029,                0.29278,                0.16701,                 1.7292,                 2.1741,                 1.7941,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.6958,                  2.249,                 1.7571,                0.42203,                0.32971,                0.32197,                0.18888,                 1.7056,                 2.1101,                 1.7651,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.6495,                 2.1663,                 1.7257,                0.45045,                0.34308,                0.34124,                0.20217,                 1.6643,                 2.0562,                 1.7317,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.6187,                 2.1133,                 1.6964,                0.44539,                0.35664,                0.35695,                0.21048,                 1.6429,                 1.9925,                 1.7045,               0.000755,               0.000755,               0.000755
                     10,                 1.5929,                 2.0491,                 1.6695,                0.48757,                0.36971,                0.37809,                 0.2301,                 1.5925,                 1.9281,                 1.6612,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.5985,                 1.9566,                 1.6661,                0.49275,                 0.3895,                0.39654,                0.24042,                 1.5801,                  1.885,                 1.6464,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.5678,                 1.8911,                 1.6429,                0.52675,                 0.3853,                0.41613,                0.25846,                 1.5427,                 1.8199,                 1.6134,             0.00056938,             0.00056938,             0.00056938
                     13,                  1.545,                 1.8386,                 1.6173,                0.53078,                0.39944,                 0.4263,                0.26722,                 1.5305,                 1.7683,                 1.5931,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.5185,                 1.7927,                 1.5992,                 0.5628,                0.39977,                0.43812,                0.27457,                 1.5054,                 1.7274,                  1.568,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.5034,                 1.7512,                 1.5818,                0.57187,                0.40865,                0.44964,                0.28393,                 1.4918,                 1.7005,                 1.5672,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.4846,                 1.7147,                 1.5661,                0.56101,                0.42699,                0.46013,                0.28866,                 1.4878,                 1.6597,                 1.5474,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.4715,                 1.6955,                 1.5547,                0.57021,                0.42743,                0.46962,                0.29692,                 1.4656,                 1.6362,                 1.5348,                0.00026,                0.00026,                0.00026
                     18,                 1.4515,                 1.6572,                 1.5402,                0.57796,                0.43451,                0.47693,                0.30298,                 1.4587,                 1.6107,                 1.5313,             0.00019813,             0.00019813,             0.00019813
                     19,                  1.436,                 1.6246,                 1.5292,                0.59891,                0.43941,                0.48614,                0.30984,                 1.4489,                 1.5977,                 1.5184,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.4193,                 1.6002,                 1.5148,                 0.5962,                0.44145,                0.48892,                 0.3125,                 1.4402,                 1.5866,                 1.5137,             7.4375e-05,             7.4375e-05,             7.4375e-05
