                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3705,                 5.2044,                 4.2501,                      0,                      0,                      0,                      0,                 4.5655,                 5.0826,                 4.1557,              3.465e-05,              3.465e-05,              3.465e-05
                      2,                 4.2341,                 5.1416,                 4.2264,                      0,                      0,                      0,                      0,                 4.5618,                  5.073,                 4.1496,             7.3114e-05,             7.3114e-05,             7.3114e-05
                      3,                 4.1588,                 5.1252,                 4.1891,                      0,                      0,                      0,                      0,                 4.5578,                 5.0428,                 4.1368,             0.00011154,             0.00011154,             0.00011154
                      4,                 4.2209,                 5.0672,                 4.1431,                      0,                      0,                      0,                      0,                 4.5415,                  4.978,                 4.1041,             0.00014993,             0.00014993,             0.00014993
                      5,                 3.9708,                 5.0279,                 4.1051,                      0,                      0,                      0,                      0,                 4.4756,                  4.856,                  4.019,             0.00018828,             0.00018828,             0.00018828
                      6,                 3.9938,                 4.9494,                  4.048,                      0,                      0,                      0,                      0,                  4.305,                 4.7047,                  3.885,             0.00022659,             0.00022659,             0.00022659
                      7,                 3.9915,                 4.9133,                 4.0175,                      0,                      0,                      0,                      0,                 3.9687,                 4.4983,                 3.7092,             0.00026486,             0.00026486,             0.00026486
                      8,                 3.6923,                 4.8137,                 3.9264,                      0,                      0,                      0,                      0,                 3.2003,                 4.2776,                 3.4339,              0.0003031,              0.0003031,              0.0003031
                      9,                  3.567,                 4.7335,                   3.91,                 0.0002,                0.04736,                0.00029,                 0.0001,                 2.7266,                 4.1291,                 3.2365,             0.00034129,             0.00034129,             0.00034129
                     10,                 3.4959,                   4.63,                 3.8393,                0.00021,                0.04918,                0.00029,                0.00011,                 2.5703,                 4.0489,                 3.1341,             0.00037945,             0.00037945,             0.00037945
                     11,                 3.4638,                 4.5371,                 3.7967,                0.00023,                0.03916,                0.00025,                  8e-05,                 2.9049,                 4.1313,                 3.2478,             0.00038309,             0.00038309,             0.00038309
                     12,                   3.45,                 4.4646,                 3.7478,                0.00022,                0.05282,                0.00044,                0.00016,                 2.3884,                 3.9492,                 2.9825,              0.0003829,              0.0003829,              0.0003829
                     13,                 3.3226,                 4.4084,                 3.6848,                0.00063,                 0.0565,                0.00093,                0.00029,                 2.4122,                 3.8857,                 2.9708,             0.00038271,             0.00038271,             0.00038271
