                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3705,                 5.2044,                 4.2501,                      0,                      0,                      0,                      0,                 4.5655,                 5.0826,                 4.1557,              3.465e-05,              3.465e-05,              3.465e-05
                      2,                 4.2344,                 5.1417,                 4.2267,                      0,                      0,                      0,                      0,                 4.5617,                 5.0733,                 4.1497,             7.2426e-05,             7.2426e-05,             7.2426e-05
                      3,                 4.1597,                 5.1256,                 4.1895,                      0,                      0,                      0,                      0,                 4.5582,                 5.0433,                  4.137,             0.00010944,             0.00010944,             0.00010944
                      4,                 4.2235,                 5.0702,                 4.1443,                      0,                      0,                      0,                      0,                 4.5423,                 4.9805,                 4.1053,             0.00014569,             0.00014569,             0.00014569
                      5,                 3.9802,                 5.0299,                 4.1092,                      0,                      0,                      0,                      0,                 4.4798,                 4.8626,                 4.0241,             0.00018118,             0.00018118,             0.00018118
                      6,                 3.9958,                 4.9493,                 4.0548,                      0,                      0,                      0,                      0,                  4.318,                 4.7162,                 3.8944,             0.00021591,             0.00021591,             0.00021591
                      7,                 4.0121,                 4.9299,                 4.0266,                      0,                      0,                      0,                      0,                 4.0036,                  4.515,                 3.7242,             0.00024987,             0.00024987,             0.00024987
                      8,                 3.7343,                 4.8268,                 3.9355,                      0,                      0,                      0,                      0,                 3.2994,                 4.3055,                 3.4706,             0.00028307,             0.00028307,             0.00028307
                      9,                 3.6022,                  4.764,                 3.9215,                 0.0002,                0.04736,                 0.0003,                 0.0001,                 2.6969,                 4.1275,                 3.2409,             0.00031551,             0.00031551,             0.00031551
                     10,                 3.4939,                 4.6511,                 3.8455,                0.00019,                0.04554,                0.00028,                  9e-05,                 2.8175,                 4.1171,                  3.237,             0.00034719,             0.00034719,             0.00034719
                     11,                 3.4878,                 4.5837,                 3.8121,                0.00019,                0.04554,                0.00028,                  9e-05,                 3.4246,                 4.2668,                 3.4773,             0.00034689,             0.00034689,             0.00034689
                     12,                 3.4484,                 4.5187,                 3.7542,                0.00022,                  0.051,                0.00058,                0.00019,                 2.4349,                 3.8861,                 3.0226,             0.00034307,             0.00034307,             0.00034307
                     13,                 3.3521,                 4.4657,                 3.7076,                0.00021,                0.04645,                0.00043,                0.00012,                 2.7347,                 4.0778,                  3.139,             0.00033926,             0.00033926,             0.00033926
                     14,                 3.2548,                 4.4373,                 3.6736,                0.00041,                0.05286,                0.00072,                0.00019,                 2.7215,                 3.8689,                 3.1254,             0.00033545,             0.00033545,             0.00033545
                     15,                 3.2119,                  4.289,                  3.588,                0.00364,                0.07417,                  0.003,                0.00104,                 2.6904,                 3.8649,                 3.1073,             0.00033164,             0.00033164,             0.00033164
                     16,                  3.117,                 4.2128,                 3.5585,                0.00351,                0.12674,                0.00421,                0.00154,                 2.5675,                 3.8794,                 3.0544,             0.00032783,             0.00032783,             0.00032783
                     17,                 3.0498,                 4.0688,                 3.4929,                0.00593,                 0.1413,                0.00621,                0.00168,                 2.4677,                 4.1936,                 2.9847,             0.00032402,             0.00032402,             0.00032402
                     18,                 3.0461,                 4.0538,                 3.4423,                0.00963,                  0.178,                0.00766,                0.00221,                 2.7517,                 3.9406,                 3.1467,              0.0003202,              0.0003202,              0.0003202
                     19,                 2.9003,                 3.9863,                 3.3997,                0.01261,                0.18998,                 0.0095,                0.00206,                 2.5076,                 4.0941,                 3.0818,             0.00031639,             0.00031639,             0.00031639
                     20,                 2.9486,                 3.8733,                 3.3816,                0.00815,                0.17934,                0.00711,                0.00181,                 2.4897,                 3.8377,                 3.1363,             0.00031258,             0.00031258,             0.00031258
